time,year,medal,name,country
12.6,1896,BRONZE,Francis Lane,USA
12.6,1896,BRONZE,Alajos Szokolyi,HUN
12.2,1896,SILVER,Fritz Hofmann,DEU
12,1896,GOLD,Tom Burke,USA
11.3,1906,SILVER,Fay Moulton,USA
11.3,1906,BRONZE,Nigel Barker,AUS
11.2,1906,GOLD,Archie Hahn,USA
11.2,1904,SILVER,Nate Cartmell,USA
11.2,1904,BRONZE,Bill Hogenson,USA
11.2,1900,BRONZE,Stan Rowley,AUS
11.1,1900,SILVER,Walter Tewksbury,USA
11,1920,BRONZE,Harry Edward,GBR
11,1908,BRONZE,Robert Kerr,CAN
11,1904,GOLD,Archie Hahn,USA
11,1900,GOLD,Frank Jarvis,USA
10.9,1928,SILVER,Jack London,GBR
10.9,1928,BRONZE,Georg Lammers,GER
10.9,1912,SILVER,Alvah Meyer,USA
10.9,1912,BRONZE,Donald Lippincott,USA
10.9,1908,SILVER,James Rector,USA
10.8,1928,GOLD,Percy Williams,CAN
10.8,1924,BRONZE,Arthur Porritt,NZL
10.8,1920,SILVER,Morris Kirksey,USA
10.8,1920,GOLD,Charles Paddock,USA
10.8,1912,GOLD,Ralph Craig,USA
10.8,1908,GOLD,Reggie Walker,SAF
10.7,1924,SILVER,Jackson Scholz,USA
10.6,1956,BRONZE,Hec Hogan,AUS
10.6,1924,GOLD,Harold Abrahams,GBR
10.5,1956,SILVER,Thane Baker,USA
10.5,1956,GOLD,Bobby Morrow,USA
10.5,1936,BRONZE,Tinus Osendarp,NED
10.4,1952,SILVER,Herb McKenley,JAM
10.4,1952,GOLD,Lindy Remigino,USA
10.4,1952,BRONZE,Emmanuel Bailey,GBR
10.4,1948,SILVER,Barney Ewell,USA
10.4,1948,BRONZE,Lloyd LaBeach,PAN
10.4,1936,SILVER,Ralph Metcalfe,USA
10.4,1932,BRONZE,Arthur Jonath,GER
10.39,1980,BRONZE,Petar Petrov,BUL
10.33,1972,BRONZE,Lennox Miller,JAM
10.3,1960,BRONZE,Peter Radford,GBR
10.3,1948,GOLD,Harrison Dillard,USA
10.3,1936,GOLD,Jesse Owens,USA
10.3,1932,SILVER,Ralph Metcalfe,USA
10.3,1932,GOLD,Eddie Tolan,USA
10.25,1980,SILVER,Silvio Leonard,CUB
10.25,1980,GOLD,Allan Wells,GBR
10.24,1972,SILVER,Robert Taylor,USA
10.22,1984,BRONZE,Ben Johnson,CAN
10.2,1964,SILVER,Enrique Figuerola,CUB
10.2,1964,BRONZE,Harry Jerome,CAN
10.2,1960,SILVER,David Sime,USA
10.2,1960,GOLD,Armin Hary,GER
10.19,1984,SILVER,Sam Graddy,USA
10.14,1976,BRONZE,Valery Borzov,URS
10.14,1972,GOLD,Valery Borzov,URS
10.08,1976,SILVER,Don Quarrie,JAM
10.06,1976,GOLD,Hasely Crawford,TRI
10.04,2000,BRONZE,Obadele Thompson,BAR
10.04,1992,BRONZE,Dennis Mitchell,USA
10.02,1992,SILVER,Frankie Fredericks,NAM
10,1968,SILVER,Lennox Miller,JAM
10,1968,BRONZE,Charlie Greene,USA
10,1964,GOLD,Bob Hayes,USA
9.99,2000,SILVER,Ato Boldon,TRI
9.99,1988,BRONZE,Calvin Smith,USA
9.99,1984,GOLD,Carl Lewis,USA
9.97,1988,SILVER,Linford Christie,GBR
9.96,1992,GOLD,Linford Christie,GBR
9.95,1968,GOLD,Jim Hines,USA
9.92,1988,GOLD,Carl Lewis,USA
9.91,2008,BRONZE,Walter Dix,USA
9.9,1996,BRONZE,Ato Boldon,TRI
9.89,2008,SILVER,Richard Thompson,TRI
9.89,1996,SILVER,Frankie Fredericks,NAM
9.87,2004,BRONZE,Maurice Greene,USA
9.87,2000,GOLD,Maurice Greene,USA
9.86,2004,SILVER,Francis Obikwelu,POR
9.85,2004,GOLD,Justin Gatlin,USA
9.84,1996,GOLD,Donovan Bailey,CAN
9.69,2008,GOLD,Usain Bolt,JAM
9.63,2012,GOLD,Usain Bolt,JAM
9.75,2012,SILVER,Yohan Blake,JAM
9.79,2012,BRONZE,Justin Gatlin,USA
9.81,2016,GOLD,Usain Bolt,JAM
9.89,2016,SILVER,Justin Gatlin,USA
9.91,2016,BRONZE,Andre DE GRASSE,CAN
